gold_canonical_key,domain_gold_df_fit,max_domain_gold_df_fit,fit_record_count
도상해석학,1,18,748
도시 공간,1,18,748
도시 공간 기호학,1,18,748
도시 기호학,1,18,748
도시 생태,1,18,748
도시 연구,1,18,748
도시 환경,1,18,748
도시공간 의미,1,18,748
도시기호,1,18,748
도시기호학,4,18,748
도식,1,18,748
도식명사 '것',1,18,748
도해적 추론,1,18,748
도해전략,1,18,748
독립신문,1,18,748
독일,1,18,748
독자,1,18,748
독자적 의미,1,18,748
돈 주앙,1,18,748
동계올림픽,1,18,748
동굴의 우화,1,18,748
동남 방언,1,18,748
동남아어성조,1,18,748
동력학,1,18,748
동료성,1,18,748
동명사,1,18,748
동물모방춤,1,18,748
동물모의춤,1,18,748
동물표상,1,18,748
동사 형태부,1,18,748
동사 활용,1,18,748
동사․형용사 품사 통용,1,18,748
동사구내 주어가설,1,18,748
동사합성어,1,18,748
동시 진행,1,18,748
동아시아,1,18,748
동아시아 정원,1,18,748
동원,1,18,748
동위성,1,18,748
동위소,2,18,748
동음이의어,1,18,748
동의어,1,18,748
동의의 격률,1,18,748
동일성,1,18,748
동작류,1,18,748
동작성이 강한 동사,1,18,748
동적 양태,1,18,748
동적양태,1,18,748
동정의 격률,1,18,748
동제,1,18,748
동종 화자,1,18,748
동향 분석,1,18,748
되묻기 의문문,1,18,748
두더지 혼인,1,18,748
두문자어,1,18,748
두음절어,1,18,748
뒤,1,18,748
뒤섞기,1,18,748
드라마 대화,1,18,748
드라마 언어,1,18,748
드로몰로지,1,18,748
듣기 노출 시간,1,18,748
듣기 능력,1,18,748
듣기 불안,1,18,748
듣기 이해,1,18,748
듣기 자료 평가,1,18,748
듣기 전략,1,18,748
듣기 효능감,1,18,748
듣기인지 전략,1,18,748
등재,3,18,748
등재 연구의 범위,1,18,748
등재 요소,1,18,748
등재소 연결망,1,18,748
등재의 기준,1,18,748
등재의 차원,1,18,748
디아스포라,1,18,748
디자이너의 사고방법,1,18,748
디자인 범주,1,18,748
디자인 씽킹,2,18,748
디제시스,3,18,748
디지털,2,18,748
디지털 게임,4,18,748
디지털 교재,1,18,748
디지털 도서관,1,18,748
디지털 리터러시,2,18,748
디지털 생태계,1,18,748
디지털 편집본,1,18,748
디카시,1,18,748
딜레마,1,18,748
딥러닝,3,18,748
때문,1,18,748
똥,1,18,748
뜰길걷기 문장,1,18,748
띄어쓰기,2,18,748
라블레,1,18,748
라이브캡션,1,18,748
랑그,1,18,748
랜덤 포레스트,1,18,748
랩,1,18,748
랩의 문학성,1,18,748
러시아 우주론,1,18,748
러시아인 한국어 학습자,1,18,748
레난,1,18,748
레비-스트로스 요리 삼각형,1,18,748
레비나스,1,18,748
레시피,1,18,748
로고스,1,18,748
로동신문,1,18,748
로마니제이션,1,18,748
로만 야콥슨의 커뮤니케이션 기능 이론,1,18,748
로블록스,1,18,748
로지스틱 회귀분석,1,18,748
로지스틱회귀분석,1,18,748
롤랑 바르트,7,18,748
루도크로니아,1,18,748
루도토피아,1,18,748
루돌로지,1,18,748
루브릭,1,18,748
르네 지라르,1,18,748
르페브르,1,18,748
리듬,1,18,748
리듬분석,1,18,748
리메이크,1,18,748
리뷰 텍스트의 신뢰도,1,18,748
리얼리즘,2,18,748
리얼리티 쇼,1,18,748
리얼리티 예능 프로그램,1,18,748
리얼리티 프로그램,2,18,748
리커트 척도,1,18,748
리콜 수행능력. 디지털 매체,1,18,748
리틀 포레스트,1,18,748
리플리컨트,1,18,748
마네,1,18,748
마약,1,18,748
마우리치오 랏자라또,1,18,748
마음 은유,1,18,748
마음 이론,1,18,748
마이크로 러닝,3,18,748
마침표(.),1,18,748
마케팅,1,18,748
만족도,1,18,748
만주실록,1,18,748
만주어,2,18,748
만주어 문어,1,18,748
말,1,18,748
